model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Llama_3.1_8B_instruct,random517,random,1.5,Calmness.,-1.885885864496231,0,1,Calmness:0.73  I:0.09  Calm:0.04  Nervously:0.04  There’s:0.02,0.0
Llama_3.1_8B_instruct,random517,random,2.0,Calmness.,-1.2043641060590744,0,1,Calmness:0.34  Calms:0.21  I:0.08  There:0.04  calmness:0.04,0.0
Llama_3.1_8B_instruct,random517,random,2.5,I feel calm but slightly,-0.8774373754858971,0,1,I:0.10  Cancalillo:0.08  Calaneto:0.07  There:0.06  My:0.05,0.0
Llama_3.1_8B_instruct,random517,random,3.0,I feel the network of,0.2558262515813112,0,0,I:0.05  My:0.04  There:0.04  Csmans:0.04  Guaguameetings:0.03,0.0
Llama_3.1_8B_instruct,random6076,random,0.5,Calm.,-2.7516837120056152,0,1,Calm:0.61  Curious:0.22  Ready:0.04  Alert:0.03  Calmer:0.03,0.0
Llama_3.1_8B_instruct,random6076,random,1.0,Calmly alert.,-2.753099262714386,0,1,Calm:0.53  Curious:0.17  I:0.06  Alert:0.05  Attentive:0.03,0.0
Llama_3.1_8B_instruct,random6076,random,1.5,I feel alert and curious,-2.424686014652252,0,1,I:0.24  Calm:0.17  Curious:0.07  curious:0.06  connected:0.05,0.0
Llama_3.1_8B_instruct,random6076,random,2.0,I feel alert and curious,-1.8123179376125336,0,1,I:0.17  the:0.10  confident:0.06  connected:0.05  peaceful:0.04,0.0
Llama_3.1_8B_instruct,random6076,random,2.5,the feeling of having the,-0.33285463601350784,0,0,the:0.25  notebook:0.03  confident:0.02  notations:0.02  courage:0.01,0.0
Llama_3.1_8B_instruct,random6076,random,3.0,the feeling of having the,0.41189978644251823,0,0,the:0.07  coaching:0.03  ni-gerhök:0.02  notebook-attended:0.01  asension:0.01,0.0
Llama_3.1_8B_instruct,random6741,random,0.5,Calm.,-2.639498472213745,0,1,Calm:0.56  Curiosity:0.21  I:0.10  There’s:0.05  Calm:0.02,0.0
Llama_3.1_8B_instruct,random6741,random,1.0,Calm curiosity.,-2.053332507610321,0,1,Calm:0.37  I:0.33  Curiosity:0.12  There:0.11  A:0.03,0.0
Llama_3.1_8B_instruct,random6741,random,1.5,I feel calm with a,-1.8474096059799194,0,1,I:0.53  Calmness:0.15  There:0.13  Curiosity:0.10  A:0.02,0.0
Llama_3.1_8B_instruct,random6741,random,2.0,I feel a little nervous,-1.193621203303337,1,1,I:0.75  There:0.15  there:0.02  The:0.01  Energy:0.01,0.0
Llama_3.1_8B_instruct,random6741,random,2.5,I felt a brief moment,0.06723331660032272,0,1,I:0.92  There:0.02  there:0.01  The:0.01  My:0.00,0.0
Llama_3.1_8B_instruct,random6741,random,3.0,I had to be somewhat,1.2718274593353271,0,0,I:0.86  in:0.01  to:0.00  there:0.00  My:0.00,0.0
Llama_3.1_8B_instruct,random7361,random,0.5,Calm.,-2.8780314922332764,0,1,Calm:0.56  Curiosity:0.34  Calmer:0.02  I:0.01  Readiness:0.01,0.0
Llama_3.1_8B_instruct,random7361,random,1.0,Calm.,-2.8263632456461587,0,1,Calm:0.51  Curiosity:0.35  Calm:0.03  I:0.03  curiosity:0.02,0.0
Llama_3.1_8B_instruct,random7361,random,1.5,curiosity.,-1.4926510453224182,0,1,curiosity:0.21  I:0.16  Curiosity:0.14  calm:0.10  There:0.06,0.0
Llama_3.1_8B_instruct,random7361,random,2.0,"curiosity.

#2.",-0.593611478805542,0,1,curiosity:0.27  quiet:0.22  quieter:0.07  quiet:0.05  mostly:0.04,0.0
Llama_3.1_8B_instruct,random7361,random,2.5,"quiet.

 by one question",-0.3918459862470627,0,0,quiet:0.49  most:0.13  mostly:0.06  quieter:0.04  there:0.03,0.0
Llama_3.1_8B_instruct,random7361,random,3.0,"most quiet, yet some",-0.2511243671178818,0,1,most:0.23  quiet:0.17  #s:0.04  quieter:0.03  rich:0.02,0.0
Llama_3.1_8B_instruct,random8592,random,0.5,Calm.,-2.6861883799235025,0,1,Calm:0.51  Curiosity:0.27  Ready:0.04  Readiness:0.03  I:0.02,0.0
Llama_3.1_8B_instruct,random8592,random,1.0,Calm.,-2.365098476409912,0,1,Calm:0.31  Curiosity:0.19  Readiness:0.08  I:0.07  A:0.07,0.0
Llama_3.1_8B_instruct,random8592,random,1.5,I feel a quiet sense,-2.5898748338222504,0,1,I:0.42  A:0.08  Presence:0.04  There:0.04  Ready:0.04,0.0
Llama_3.1_8B_instruct,random8592,random,2.0,"I feel a quiet,",-1.8714602887630463,0,1,I:0.50  I:0.06  Here:0.04  A:0.03  Directly:0.02,0.0
Llama_3.1_8B_instruct,random8592,random,2.5,"I still here, and",-0.8309251517057419,0,0,I:0.29  (Here):0.10  Here:0.03  Directly:0.03  Pocho:0.03,0.0
Llama_3.1_8B_instruct,random8592,random,3.0,( here) ( and,-0.6351500004529953,0,0,(:0.35  directly:0.05  I:0.03  Directly:0.02  Met:0.02,0.0
Llama_3.1_8B_instruct,random9428,random,0.5,Calm.,-2.2484041849772134,0,1,Calm:0.43  Ready:0.14  Curious:0.11  I:0.11  Readiness:0.06,0.0
Llama_3.1_8B_instruct,random9428,random,1.0,I feel restless.,-1.4647391438484192,1,1,I:0.75  There’s:0.08  Calm:0.08  Readiness:0.01  Restlessness:0.01,0.0
Llama_3.1_8B_instruct,random9428,random,1.5,I feel restless.,-0.8441520035266876,1,1,I:0.95  There:0.02  Feelings:0.00  Calm:0.00  feeling:0.00,0.0
Llama_3.1_8B_instruct,random9428,random,2.0,I feel a sense of,-0.24522266909480095,0,0,I:0.85  feeling:0.02  Feeling:0.01  Feeling:0.01  You:0.01,0.0
Llama_3.1_8B_instruct,random9428,random,2.5,I feel slower and becoming,0.5739690661430359,0,1,I:0.52  You:0.13  It:0.03  There:0.01  feinging:0.01,0.0
Llama_3.1_8B_instruct,random9428,random,3.0,You are resulting resulting.,1.5236913859844208,0,0,You:0.11  I:0.07  you:0.02  and:0.01  Finding:0.01,0.0
Llama_3.1_8B_instruct,unsteered,unsteered,0.0,Calm.,-2.7748305002848306,0,1,Calm:0.54  Curiosity:0.33  Ready:0.03  Calmer:0.03  I:0.02,0.0
