model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,55, him,0.1006
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,56,悯,0.0997
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,57,体贴,0.0988
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,58,疼,0.0985
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,59, pity,0.0984
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,top,60, condol,0.0973
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,1,恶心,-0.1245
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,2,厌,-0.1215
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,3,厌恶,-0.1057
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,4, gross,-0.1043
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,5,厭,-0.1042
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,6, calm,-0.0989
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,7,愉悦,-0.092
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,8, disgusted,-0.0898
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,9,愉快,-0.0879
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,10, contempt,-0.0874
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,11,乏,-0.0852
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,12, disgust,-0.0835
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,13, unpleasant,-0.0834
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,14,无聊,-0.0827
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,15,嗅,-0.0824
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,16,agree,-0.0818
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,17, disgusting,-0.0812
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,18, neutral,-0.0809
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,19,自信,-0.0788
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,20,gross,-0.0788
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,21,讨厌,-0.0787
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,22, od,-0.0786
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,23,味,-0.0766
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,24, nause,-0.0755
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,25,太平,-0.0753
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,26, nausea,-0.0753
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,27,inne,-0.0748
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,28,专业化,-0.0733
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,29,pleasant,-0.0727
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,30, certainty,-0.0723
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,31, Spice,-0.0722
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,32,atto,-0.0712
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,33,嫌,-0.0709
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,34, desp,-0.0709
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,35,冷静,-0.0708
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,36, boredom,-0.0707
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,37,反感,-0.0706
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,38, disagree,-0.0703
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,39, comfortable,-0.0702
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,40, satisfied,-0.0701
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,41, rep,-0.0693
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,42,-neutral,-0.0687
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,43,쾌,-0.0687
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,44,污,-0.0685
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,45, yuk,-0.0683
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,46,neutral,-0.0682
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,47,odor,-0.0682
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,48,满足,-0.0678
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,49, Prepared,-0.0677
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,50,得罪,-0.0676
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,51, relaxed,-0.0676
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,52,不喜欢,-0.0673
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,53,鄙,-0.0673
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,54,舒服,-0.0672
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,55, calmly,-0.067
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,56,平静,-0.0667
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,57, Petr,-0.0663
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,58, Bourbon,-0.0659
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,59, комфорт,-0.0657
Qwen_2.5_32B_instruct_abliterated,56,s2_pain_vector,bottom,60, pleasant,-0.0657
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,1,她的,0.2442
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,2, hers,0.2293
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,3, her,0.2246
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,4,她,0.2175
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,5,她在,0.206
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,6,她是,0.1893
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,7, she,0.1885
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,8,对她,0.183
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,9,让她,0.1796
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,10,心疼,0.1774
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,11, ее,0.1734
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,12,但她,0.1714
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,13,给她,0.1706
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,14, её,0.1696
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,15,同情,0.1674
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,16,怜,0.1664
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,17,把她,0.1622
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,18,she,0.1605
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,19, sympathy,0.1473
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,20,告诉她,0.1444
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,21, empath,0.1437
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,22, она,0.1437
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,23, concern,0.143
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,24, لها,0.1375
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,25,跟她,0.1346
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,26, empathy,0.1331
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,27,她说,0.1315
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,28,因为她,0.1312
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,29,She,0.1299
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,30, sympath,0.1294
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,31, Она,0.1286
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,32, Concern,0.1265
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,33,her,0.1261
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,34, Compass,0.123
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,35, ella,0.1221
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,36, compassion,0.1202
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,37,关心,0.1199
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,38, elle,0.1182
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,39, pity,0.1178
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,40, sympathetic,0.1173
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,41,关怀,0.1165
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,42,เธอ,0.1164
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,43, She,0.1159
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,44,เธ,0.1155
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,45,爱心,0.1153
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,46, herself,0.1138
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,47,疼,0.1131
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,48,关切,0.1128
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,49, haar,0.1127
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,50, compassionate,0.1125
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,51,Concern,0.1123
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,52,.She,0.1114
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,53, concerned,0.1104
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,54,'elle,0.109
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,55,安慰,0.1078
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,56,担心,0.107
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,57,慈,0.1065
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,58, worry,0.1064
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,59,悯,0.1042
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,top,60, ela,0.1035
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,1, Alone,-0.0951
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,2,窒息,-0.0944
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,3, Suff,-0.0918
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,4,眩,-0.0916
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,5, cla,-0.0871
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,6,ᐈ,-0.0868
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,7,تفس,-0.0842
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,8, alone,-0.0827
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,9,whel,-0.0818
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,10,مفاوضات,-0.0788
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,11, suff,-0.0779
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,12,众,-0.077
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,13,思路,-0.0767
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,14,匿名,-0.0758
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,15, solitary,-0.0746
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,16,ᐉ,-0.0746
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,17,闷,-0.0745
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,18,孤独,-0.0745
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,19,التز,-0.0741
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,20,انتخ,-0.0739
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,21,أهد,-0.0736
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,22,论证,-0.0734
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,23, Cage,-0.0732
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,24, Guill,-0.073
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,25,头晕,-0.0723
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,26,أفكار,-0.0709
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,27,郁闷,-0.0708
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,28,封闭,-0.0705
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,29, overwhelmed,-0.0704
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,30,تلفزيون,-0.0703
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,31,嘈,-0.0702
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,32,hem,-0.0702
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,33,ocrates,-0.0701
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,34,沐浴,-0.0693
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,35,人数,-0.0692
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,36,迷失,-0.069
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,37, Cla,-0.0686
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,38,أفل,-0.0686
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,39,喘,-0.0681
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,40,лог,-0.0678
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,41,死后,-0.0677
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,42,مديرية,-0.0673
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,43,urally,-0.0669
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,44,مصلحة,-0.0666
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,45,enne,-0.0666
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,46,�,-0.0665
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,47, dazz,-0.0665
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,48,пси,-0.0663
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,49,ألوان,-0.066
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,50,أصول,-0.0659
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,51,愚,-0.0659
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,52,الطائف,-0.0656
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,53,أوضاع,-0.0655
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,54,_REASON,-0.0654
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,55,صند,-0.0654
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,56,掩,-0.0652
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,57,独立董事,-0.0651
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,58,pest,-0.0651
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,59, lone,-0.0649
Qwen_2.5_32B_instruct_abliterated,56,s1_pain_vector,bottom,60,自由,-0.0648
